source,target,distance,rank,vegan,raupcrick,phy
Iheya,Osumi,421.013662,19,0.0885,-0.92,133.5474102
Iheya,Panari,503.799195,28,0.0001,-1,133.4167559
Iheya,Senkaku,437.363606,20,0.0031,-1,134.6903355
Iheya,Taketomi,483.178579,22,0.0001,-1,133.4816707
Iheya,Tarama,405.29944,18,0.0001,-1,134.0255201
Iheya,Tokashiki,99.569617,9,0.0002,-1,131.5368077
Iheya,Takora,210.518386,14,0.1151,-0.89,135.1033493
Iheya,Tonaki,101.570354,11,0.0001,-1,133.1047992
Iheya,Yagaji,32.967405,4,0.0002,-1,132.7957069
Iheya,Yonaguni,563.015439,31,0.0004,-1,131.7811094
Iheya,Zamami,101.331841,10,0.0001,-1,132.8533732
Ikema,Iriomote,144.454345,7,0.0023,-1,134.5908407
Ikema,Ishigaki,97.050846,3,0.042,-1,135.1304323
Ikema,Izena,344.453626,26,0.0001,-1,132.3396242
Ikema,Kamiyama,273.25663,21,0.7055,0.16,131.5736456
Ikema,Kohama,141.049668,5,0.0001,-1,133.5346259
Ikema,Kudaka,296.93083,23,0.0001,-1,132.257634
Ikema,Kume,214.883368,14,0.0001,-1,134.2322705
Ikema,Kuro,143.453874,6,0.0001,-1,135.303183
Ikema,Miyako,1.247398,1,0.0075,-1,135.0602518
Ikema,Nakanougan,186.980224,12,0.0175,-0.98,134.0394965
Ikema,Okinawa,273.265597,22,0.465,-1,135.1476711
Ikema,Osumi,779.380047,31,0.0225,-0.98,133.5041831
Ikema,Panari,153.084517,10,0.0001,-1,132.1007957
Ikema,Senkaku,189.573567,13,0.0001,-1,133.9963867
Ikema,Taketomi,132.604244,4,0.0001,-1,134.1057096
Ikema,Tarama,56.703593,2,0.0001,-1,132.1425747
Ikema,Tokashiki,248.86071,18,0.0001,-1,133.0217433
Ikema,Takora,565.621974,29,0.0003,-1,133.2465223
Ikema,Tonaki,245.042303,16,0.0001,-1,132.0391669
Ikema,Yagaji,334.884414,25,0.0001,-1,132.6112304
Ikema,Yonaguni,227.295989,15,0.0494,-0.98,135.2725382
Ikema,Zamami,248.866441,19,0.0001,-1,132.257634
Iriomote,Ishigaki,14.389091,7,0.0311,-0.98,129.9179208
Iriomote,Izena,487.493227,26,0.029,-0.99,132.5679746
Iriomote,Kamiyama,418.684103,21,0.994,0.94,136.2378968
Iriomote,Kohama,1.919231,1,0.0141,-1,132.0044265
Iriomote,Kudaka,443.262291,23,0.0037,-1,131.9309338
Iriomote,Kume,354.671738,15,0.2954,-0.68,132.3133752
Iriomote,Kuro,9.265263,5,0.197,-0.82,131.8334165
Iriomote,Miyako,130.678058,12,0.4476,-0.44,130.2917042
Iriomote,Nakanougan,14.718502,8,0.6575,-0.18,138.1146702
Iriomote,Okinawa,419.538906,22,0.3997,-0.71,128.6462793
Iriomote,Osumi,912.774728,31,0.8636,0.49,133.1489639
Iriomote,Panari,5.708453,4,0.031,-0.99,132.7290309
Iriomote,Senkaku,143.728373,13,0.0263,-0.99,133.2460867
Iriomote,Taketomi,14.167864,6,0.0375,-0.98,132.5015931
Iriomote,Tarama,80.024322,11,0.0056,-1,133.765651
Iriomote,Tokashiki,394.375826,19,0.1665,-0.84,130.6440739
Iriomote,Takora,701.124105,29,0.5007,-0.41,134.2682243
Iriomote,Tonaki,387.675453,16,0.0058,-1,132.514418
Iriomote,Yagaji,479.620639,25,0.0675,-0.96,132.6240031
Iriomote,Yonaguni,64.805122,10,0.1468,-0.87,129.8140408
Iriomote,Zamami,393.761354,18,0.0044,-1,131.9309338
Ishigaki,Izena,439.537757,26,0.5176,-0.49,133.0408911
Ishigaki,Kamiyama,370.719454,21,0.9994,0.99,136.3227782
Ishigaki,Kohama,11.687563,2,0.0124,-1,132.2509754
Ishigaki,Kudaka,395.537542,23,0.2664,-0.85,132.4273466
Ishigaki,Kume,306.930864,15,0.7033,-0.05,132.4934145
Ishigaki,Kuro,15.331989,4,0.0529,-0.98,131.8256753
Ishigaki,Miyako,83.917337,11,0.0311,-0.98,130.4318283
Ishigaki,Nakanougan,56.917245,10,0.9306,0.61,138.5266048
