source,target,distance,rank,vegan,raupcrick,phy
Zamami,Tarama,305.421189,18,0.0001,-1,131.1347157
Zamami,Ishigaki,345.761942,18,0.263,-0.85,132.4273466
Zamami,Hatoma,398.076704,18,0.0001,-1,130.6654633
Zamami,Yonaguni,468.884186,18,0.0099,-1,132.4902712
Zamami,Iriomote,393.761354,18,0.0044,-1,131.9309338
Zamami,Kohama,390.828338,18,0.0001,-1,131.9189152
Zamami,Taketomi,382.884747,18,0.0001,-1,132.1447432
Zamami,Kuro,393.948543,18,0.0001,-1,132.8978733
Zamami,Aragusuku,400.623579,18,0.0001,-1,130.5093183
Zamami,Panari,403.4718,18,0.0001,-1,130.5093183
Zamami,Nakanougan,436.113524,18,0.0065,-1,133.0109975
Zamami,Hateruma,423.739394,18,0.0001,-1,132.0826487
Aka,Osumi,543.122707,31,0.0113,-0.99,132.5046822
Aka,Takora,331.44889,17,0.0001,-1,131.7612335
Aka,Amami,143.86478,13,0.2483,-0.76,132.9765036
Aka,Iheya,106.789084,12,0.0001,-1,132.4739444
Aka,Izena,98.671388,11,0.0001,-1,130.5151774
Aka,Okinawa,34.154939,5,0.4888,-1,131.1643431
Aka,Yagaji,86.504615,10,0.0001,-1,131.5439164
Aka,Ie,71.330901,9,0.0001,-1,130.2084345
Aka,Aguni,40.355621,5,0.0001,-1,132.2755208
Aka,Tonaki,19.814427,3,0.0001,-1,130.3728008
Aka,Kume,37.248578,6,0.0001,-1,132.1910679
Aka,Kamiyama,25.912939,4,0.6746,0.09,130.6217745
Aka,Zamami,0.594211,1,0.0001,-1,130.1240028
Aka,Tokashiki,4.186432,2,0.0001,-1,130.8607493
Aka,Kudaka,58.56486,8,0.0001,-1,130.1240028
Aka,Daito,393.99454,24,0.291,-0.69,132.6021309
Aka,Senkaku,359.09506,19,0.0001,-1,131.8590764
Aka,Ikema,245.551859,15,0.0001,-1,132.2149683
Aka,Miyako,241.636531,14,0.1878,-0.88,132.3274757
Aka,Tarama,302.306554,16,0.0001,-1,131.3823503
Aka,Ishigaki,342.677104,18,0.4897,-0.56,132.1789634
Aka,Hatoma,395.123128,25,0.0001,-1,130.9598129
Aka,Yonaguni,466.234252,30,0.0595,-0.98,132.1445824
Aka,Iriomote,390.66446,22,0.0241,-0.99,131.639747
Aka,Kohama,387.69015,21,0.0001,-1,131.876373
Aka,Taketomi,379.685073,20,0.0001,-1,132.2891654
Aka,Kuro,390.715074,23,0.0001,-1,132.8956677
Aka,Aragusuku,397.418061,26,0.0001,-1,130.7686391
Aka,Panari,400.261641,27,0.0001,-1,130.7686391
Aka,Nakanougan,433.047771,29,0.0133,-0.99,133.7625929
Aka,Hateruma,420.470959,28,0.0001,-1,132.2647529
Tokashiki,Osumi,535.965426,13,0.1725,-0.81,132.6658386
